사용자,시간,댓글,좋아요,언어
soukun6732,1년 전,"It's either leave our pets on the streets or take them with this risk. I'm traveling with my cat on Sunday, he will be in cargo. Please pray for him.",5,en
chiefchick,1년 전,I am in the USA and moving back to the Philippines. I am dreading this and praying that by the time I have to move that there are alternative ways to fly my two huge dogs. This is sooooo scary for them.,109,en
sjonromanov2027,5개월 전,"I did it with 3 dogs. One was small enough to sit by me, the two others had to be in their kennels. It was a 14 hour flight, I was VERRRYY worried, but everything went well. Sometimes we have to trust our pets, that they'll be okay, and can manage(even if it is for a couple of hours).",7,en
AngieTrinh960,2년 전,this would be scary if you were a dog on a cargo jeez,97,en
piyumi5380,2년 전,This is so sad😢 the husky looks very stressed and this does not look like a safe place for the dogs,32,en
p7nky885,2년 전,im sorry this looks like hell for them,170,en
thesecretcouncil,2년 전,During the flight they are in complete darkness.,10,en
HaruHikaHaruHika,2년 전,"Oh nooooo This is absolutely cruel, I wish dogs could travel in cabin I want to travel overseas, idk how to take my dogs.",10,en
jasminez6236,2년 전,"this is why i prefer my dog in a carrier under my seat, because my dog has separation anxiety and never been on a plane before. its way better to be with your owner and be comforted than to be on a cargo and not know your in air without a owner thats not there with you.",34,en
bevq2246,2년 전,I'd take a dog over a crying baby,26,en
Jess_Smith0903,2년 전,I'd take a dog over any human,17,en
drd6893,2년 전,No way id put my dog in there,25,en
PhilTCLoveGirls,1년 전,"sometimes you dont have a choice. especially when moving to another continent, which is unfortunately the situation I am in",7,en
DragonFruitTheFirst,2년 전,doggo: bark bark All the other doggos: BARK BARK BARK BARK BARK BARK,36,en
iaminthegardendancing,1년 전,The dog is panting. He is stressed.,6,en
The_2_weens,2개월 전,They should get there own seats😢,7,en
Yeehawty,2개월 전,"My sisters works with planes, she told me that the cargo hold is NOT oxygen sealed and anything living down there during flight will pass out. I will never put any of my pets down there.",3,en
mahmoorummair1531,1년 전,Is this 100 percent sure that they gonna be alive for the whole flight,8,en
Cosmos_6,1년 전,No they can get hyper stressed afraid not be able to breathe because not enough oxygen gets there I always see reports about dogs diying there prob because of stress not being able to breathe and more,7,en
matetsy,1년 전,"People saying they can't do this and that but airlines will not allow dogs in cabin if your pet is 7kg above, esp in my case I wanna bring my 12kg dog from Ph To USA. Bringing them in cargo is best than having them surrendered at the shelter or abandoning them!",15,en
jovanakeo,1년 전,I am sorry babies😢😢😢,8,en
ewoudachterberg8925,2개월 전,I would never put my dog in such horrible situation. Damm! Little husky is stressed out. Why is there not a better solution?,1,en
elsa407,3개월 전,"Just make a different compartment which is equally spacious and has windows,Ac,n light similar to the main compartment?This looks so traumatising.",2,en
mr.nibblenips4231,1개월 전,I couldn't do that to a family member.,1,en
KarenHernandez-rm6je,1년 전,Poor babies 😢,10,en
iamministry8287,2년 전,"Oh hell no! I'll just take the train. I understand sometimes you don't have a choice, and I'd rather see people ship their pet vs taking them to a shelter and giving them to a stranger.",8,en
micaeljimenez8063,1년 전,"Hell no, not putting my child in a cargo hold",2,en
Obey_man1,4개월 전,"This is very unsafe, idk how its legal, as a avgeek (aviation enthusiast) i know very well they will die due because the temperature in the cargo are can get cold, like real cold, im talking -30 to -60 degrees, they will freeze to death if its not pressurized",2,en
Taylors.13.Version,2년 전,"I have a shish tzu for this exact reason, my dog gets separation anxiety and I would never do this to her, I always have her in a carrier. My aunt who has a poodle and a husky buys 3 seats with extra leg room, I understand that some people may not have the money for a pets entry into the main part of a plane. But this is just cruel, remember that dogs hear so much louder than us and it's in the cargo part of the airplane that the engines can be heard the loudest.. if you are planning on getting a dog get a small or toy breed if you still want a big breed then make sure you have the money for them!",13,en
yoshanetubetv5791,1년 전,I would never put my dogs through this bs,3,en
dpchief_216,1년 전,"If you need to fly with your pet and they can only go into cargo like this, book a vet appointment in advance and ask for some sedatives for the flight. They'll be sleeping through the trip. Not the best solution, but better than just throwing them in there.",1,en
tenchi586,1년 전,"We don't need the obnoxious music for this important video. The dogs are already suffering. We don't need to suffer, too.",13,en
MagniaAisha,1년 전,"I was looking for how pets are transported to another country before I book. Now that I see this, I don't need it anymore. How can you take living beings away as if they were garbage cans?",2,en
susaneberstein1432,1년 전,"I want my Lab to travel with me for 15 hrs, i can't leave him,he might get scared on flight, what will i do?",5,en
theempressmak,5일 전,"This is so strange - they should just have some rows that are dog friendly, like the back of the plane and put curtains - wtf is this poor dogs",0,en
she2302,4개월 전,You wouldn't put your child or baby in the cargo so why should we put our pets there?,0,en
TheadventuresofDaisythedog,8개월 전,Who the hell would put their dog through this? Someone who should never have a dog!! This should be considered abuse and should be illegal.,1,en
