사용자,시간,댓글,좋아요,언어
soukun6732,1년 전,"It's either leave our pets on the streets or take them with this risk. I'm traveling with my cat on Sunday, he will be in cargo. Please pray for him.",5,en
chiefchick,1년 전,I am in the USA and moving back to the Philippines. I am dreading this and praying that by the time I have to move that there are alternative ways to fly my two huge dogs. This is sooooo scary for them.,109,en
sjonromanov2027,5개월 전,"I did it with 3 dogs. One was small enough to sit by me, the two others had to be in their kennels. It was a 14 hour flight, I was VERRRYY worried, but everything went well. Sometimes we have to trust our pets, that they'll be okay, and can manage(even if it is for a couple of hours).",7,en
AngieTrinh960,2년 전,this would be scary if you were a dog on a cargo jeez,97,en
piyumi5380,2년 전,This is so sad😢 the husky looks very stressed and this does not look like a safe place for the dogs,32,en
p7nky885,2년 전,im sorry this looks like hell for them,170,en
thesecretcouncil,2년 전,During the flight they are in complete darkness.,10,en
HaruHikaHaruHika,2년 전,"Oh nooooo This is absolutely cruel, I wish dogs could travel in cabin I want to travel overseas, idk how to take my dogs.",10,en
jasminez6236,2년 전,"this is why i prefer my dog in a carrier under my seat, because my dog has separation anxiety and never been on a plane before. its way better to be with your owner and be comforted than to be on a cargo and not know your in air without a owner thats not there with you.",34,en
bevq2246,2년 전,I'd take a dog over a crying baby,26,en
Jess_Smith0903,2년 전,I'd take a dog over any human,17,en
drd6893,2년 전,No way id put my dog in there,25,en
PhilTCLoveGirls,1년 전,"sometimes you dont have a choice. especially when moving to another continent, which is unfortunately the situation I am in",7,en
DragonFruitTheFirst,2년 전,doggo: bark bark All the other doggos: BARK BARK BARK BARK BARK BARK,36,en
iaminthegardendancing,1년 전,The dog is panting. He is stressed.,6,en
The_2_weens,2개월 전,They should get there own seats😢,7,en
Yeehawty,2개월 전,"My sisters works with planes, she told me that the cargo hold is NOT oxygen sealed and anything living down there during flight will pass out. I will never put any of my pets down there.",3,en
mahmoorummair1531,1년 전,Is this 100 percent sure that they gonna be alive for the whole flight,8,en
Cosmos_6,1년 전,No they can get hyper stressed afraid not be able to breathe because not enough oxygen gets there I always see reports about dogs diying there prob because of stress not being able to breathe and more,7,en
matetsy,1년 전,"People saying they can't do this and that but airlines will not allow dogs in cabin if your pet is 7kg above, esp in my case I wanna bring my 12kg dog from Ph To USA. Bringing them in cargo is best than having them surrendered at the shelter or abandoning them!",15,en
jovanakeo,1년 전,I am sorry babies😢😢😢,8,en
ewoudachterberg8925,2개월 전,I would never put my dog in such horrible situation. Damm! Little husky is stressed out. Why is there not a better solution?,1,en
elsa407,3개월 전,"Just make a different compartment which is equally spacious and has windows,Ac,n light similar to the main compartment?This looks so traumatising.",2,en
mr.nibblenips4231,1개월 전,I couldn't do that to a family member.,1,en
KarenHernandez-rm6je,1년 전,Poor babies 😢,10,en
iamministry8287,2년 전,"Oh hell no! I'll just take the train. I understand sometimes you don't have a choice, and I'd rather see people ship their pet vs taking them to a shelter and giving them to a stranger.",8,en
micaeljimenez8063,1년 전,"Hell no, not putting my child in a cargo hold",2,en
Obey_man1,4개월 전,"This is very unsafe, idk how its legal, as a avgeek (aviation enthusiast) i know very well they will die due because the temperature in the cargo are can get cold, like real cold, im talking -30 to -60 degrees, they will freeze to death if its not pressurized",2,en
Taylors.13.Version,2년 전,"I have a shish tzu for this exact reason, my dog gets separation anxiety and I would never do this to her, I always have her in a carrier. My aunt who has a poodle and a husky buys 3 seats with extra leg room, I understand that some people may not have the money for a pets entry into the main part of a plane. But this is just cruel, remember that dogs hear so much louder than us and it's in the cargo part of the airplane that the engines can be heard the loudest.. if you are planning on getting a dog get a small or toy breed if you still want a big breed then make sure you have the money for them!",13,en
yoshanetubetv5791,1년 전,I would never put my dogs through this bs,3,en
dpchief_216,1년 전,"If you need to fly with your pet and they can only go into cargo like this, book a vet appointment in advance and ask for some sedatives for the flight. They'll be sleeping through the trip. Not the best solution, but better than just throwing them in there.",1,en
tenchi586,1년 전,"We don't need the obnoxious music for this important video. The dogs are already suffering. We don't need to suffer, too.",13,en
MagniaAisha,1년 전,"I was looking for how pets are transported to another country before I book. Now that I see this, I don't need it anymore. How can you take living beings away as if they were garbage cans?",2,en
susaneberstein1432,1년 전,"I want my Lab to travel with me for 15 hrs, i can't leave him,he might get scared on flight, what will i do?",5,en
theempressmak,5일 전,"This is so strange - they should just have some rows that are dog friendly, like the back of the plane and put curtains - wtf is this poor dogs",0,en
she2302,4개월 전,You wouldn't put your child or baby in the cargo so why should we put our pets there?,0,en
TheadventuresofDaisythedog,8개월 전,Who the hell would put their dog through this? Someone who should never have a dog!! This should be considered abuse and should be illegal.,1,en
song3253,3일 전,"저는 이번사건 주인잘못도 크다고봐요...이번 폭염 진짜 장난아닌데 케이지도 진짜 공기 잘안통하는 꽉막히는 케이지라 1차로 놀랐고,,,거기에 미친건지 입마개까지 씌우고 아이스팩 1도 없고 온도조절도안되는 화물칸에 태웠으니 애가 얼마나 답답하고 숨막혔을까요,,이건 사람이였어도 못견디었을거에요😂그래놓고 억울해한다니 그분은 견주 자격 없으신것 같아요!!",479,kr
bosedigit,3일 전,보호자 잘못. 다른것 다 떠나서 화물칸에 타는데 입마개를 시키면 안됩니다. 호흡이 문제가 아니고 강아지는 체온을 혀로 다 조절 합니다. 입마개를 하면 혀를 제대로 뺄수가 없어요. 그래서 마지막 보루인 혀로 체온조절이 안된겁니다. 그리고 중요한건 이 혹서기에 개를 데리고 비행기를 탈생각을 하지 말아주셨으면 합니다. 입마개만 안했어도 이런일까진 없었습니다. 업체탓 항공사탓보다는 보호자가 주의 해야 한다고 생각합니다.,291,kr
richwhs,3일 전,보호자의 잘못입니다;;; 생각이 짧으니 본인의 여행 욕심을 채우기 위해 반려견의 입장은 고려하지 않은 것이지요. 그래놓고 피해자 코스프레를 하고 있습니다.,95,kr
마음-n8s,3일 전,"시바견 견주입니다. 뉴스보자마자 화가 나서 못보겠더라구요. 블랙탄 견주분, 도대체 뭘 얻고자 제보까지 하신건지 모르겠어요. 항공사를 탓하기 전에(아마 보상을 받고자 하시겠죠.) 본인의 '무지함'을 탓하세요. 항공사에서 온도조절이 되는지 안되는지 물어보지 않았다, 라는 주장을 하시는데, 그렇게 반려견을 생각했다면 본인이 물어보셨어야죠. 진짜 너무 화가나서 댓글까지 남기네요. 더구나 시바견들은 여름에는 집앞 산책도 견디기 힘든데, 그 더운 제주도를 데려갔다?.. 할말을 잃었습니다.",211,kr
dri13829,2일 전,이건 너무 항공사에게 너무 많은 의무와 책임을 지우는 것 같습니다. 이미 사전에 문구 안내가 되어 있었고 반려견과 함께 항공기를 이용 하려는 승객이면 필히 확인 해야 하는 사안임에도 본인이 확인 하지 않아서 생긴 일이기에 견주의 잘못이 크고 지금 보다 더 항공사에 부담을 지울 필요는 없다 봅니다.,52,kr
chichiwoo3831,2일 전,항공사가 도대체 어디까지 해야... 견주야 견주 입장에서 안타깝겠지만 항공사나 케이지 업체가 이것까지?! 그리고 화물칸에 냉방한다고 생각하는 사람이 얼마나 있을까요. 더군다나 동물이 버틸 정도의. 좀 터무니없는 소리 같습니다.,33,kr
lovelyisoi,2일 전,따뜻한 곳에서 시원한 바람 맞으면서 그곳에서 행복하게 살길,29,kr
이준석-r8v,3일 전,저건 솔직히 주인 책임이지,25,kr
박경훈-g6r,3일 전,누구잘못이긴누구잘못이야 개주인잘못이지 남탓어떻게든하고싶어서 아득바득,34,kr
호두-i9w,3일 전,1차적으로는 주인문제인게 맞는듯합니다. 공기순환안되는 케이지에 강아지를 넣은것부터가 잘못,86,kr
HYS98,3일 전,안타깝지만 이번일은 100% 견주 잘못입니다. 항공사는 규정대로 해야할 의무가 있고 그런만큼 케이지를 화물칸에 놓는다면 입마개라도 풀었어야 합니다. 멍멍이들은 더울때 혀를 내밀어서 체온조절을 한다는걸 왜 잊어버려서 참...,77,kr
lddaaaa,3일 전,솔직히 주인이 문제임 난 이동장보고 관인줄 알았다..,61,kr
박현희-c7x,3일 전,저도 이뉴스봤는데 강아지키우는 견주로써 마음이 아팠어요 여름특히 요즘같은 심한폭염에 강쥐들에겐 정말 쥐약입니다 집에서 거의24시간 에어컨풀가동해도 헥헥거리고 다니는데 화물칸에 한시간이상 얼마나 공포스럽고 힘들었을지 정말 끔찍하네요~~,19,kr
ap888869,3일 전,개는 혀로 모든 열을 발산하는데 입마개가 상관없다구요? 😲,31,kr
yarkijasmin,3일 전,안타깝지만 견주의 책임이라고 봅니다. 어떤 순간은 무지도 잘못이 될 수 있습니다,23,kr
irondragon5631,2일 전,가슴이 아프네..얼마나 힘들었을까,5,kr
Hnn-y3v,2일 전,시바견 견주입니다. 오늘 뉴스보고 매우 화가 나네요. 불쌍한 시바견..,36,kr
goodluck4624,3일 전,너무 가슴아파서 뉴스를 끝까지 다 못보겠더라구요 마음이 너무 힘들어요 이런일들은,49,kr
rmsidgkwkgo,2일 전,난 계절떠나서 혼자 두는것 자체가 불안해서 서울에서 완도까지 운전하고 거기서 배타고 같이 제주도 왔는데....주인도 잘못 있음 알아서 ...괜찮겠지....라는건 없음 내가 챙기고 내가 보살펴야함,9,kr
polonaise2213,2일 전,이거슨 견주 잘못이다. 남탓은 금물.,9,kr
ju_min12,2일 전,저 정도면 사람도 기절한다,7,kr
파랑-q1n,3일 전,보호자가 왜 보호자인데… 견주가 저리 무지할수가 있나 싶네요ㅠ 이 미친더위에 화물칸 들어가는것만으로도 힌들텐데 저 좁은 캐리어에 입마개까지….. 얼마나 고통스로웠을까ㅠㅠㅠㅠㅠ,78,kr
castle-w9c,3일 전,이 날씨에 가족같은 아이를 화물칸에 두고 여행 갈 생각을 하신 주인의 문제가 큰듯하네요. 사람도 이 날씨에 쓰러지고 사망하는데... 몰랐다가 아니라 만에 하나를 생각했어야합니다.,32,kr
톰스튜디오e5k,3일 전,ㅠㅠ 편히 쉬어라❤❤😢😢,4,kr
eunjeong1942,2일 전,솔직히 항공사 잘못이 뭔지 모르겠어요..이건 보호자 잘못이 너무 큰거같아요 그 기사 보자마자 화가나고 슬펏어요 그 보호자분은 강아지 아얘 안키우셨으면 좋겟어요,7,kr
Yammmm3446,3일 전,100% 견주잘못ㅋㅋ 이젠 보통의 여름날씨가 아니죠 사람도 걷다 쓰러지는 재난수준의 더위인데 수화물에 태운다고요?… 같이 가고싶으면 번거롭더라도 배타고 이동하지 수화물 태우려는거 자체부터 학대라고 생각하네요ㅎ 인간의 이기심일뿐,8,kr
